candidate,office,district,party,county,precinct,total votes,votes
Under votes,State Senate,16,DEM,Columbia,46 Apiary,,18
Brad Witt,State House,31,DEM,Columbia,46 Apiary,,80
Write In,State House,31,DEM,Columbia,46 Apiary,,2
Over votes,State House,31,DEM,Columbia,46 Apiary,,0
Under votes,State House,31,DEM,Columbia,46 Apiary,,16
Write In,U.S. House,1,IND,Columbia,46 Apiary,,5
Over votes,U.S. House,1,IND,Columbia,46 Apiary,,0
Under votes,U.S. House,1,IND,Columbia,46 Apiary,,6
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,46 Apiary,,1
Skye J Allen,Governor,,IND,Columbia,46 Apiary,,1
Patrick Starnes,Governor,,IND,Columbia,46 Apiary,,4
Write In,Governor,,IND,Columbia,46 Apiary,,5
Over votes,Governor,,IND,Columbia,46 Apiary,,0
Under votes,Governor,,IND,Columbia,46 Apiary,,0
Write In,State Senate,16,IND,Columbia,46 Apiary,,3
Over votes,State Senate,16,IND,Columbia,46 Apiary,,0
Under votes,State Senate,16,IND,Columbia,46 Apiary,,8
Write In,State House,31,IND,Columbia,46 Apiary,,6
Over votes,State House,31,IND,Columbia,46 Apiary,,0
Under votes,State House,31,IND,Columbia,46 Apiary,,5
John Verbeek,U.S. House,1,REP,Columbia,46 Apiary,,34
George Griffith,U.S. House,1,REP,Columbia,46 Apiary,,44
Preston L Miller,U.S. House,1,REP,Columbia,46 Apiary,,10
Write In,U.S. House,1,REP,Columbia,46 Apiary,,0
Over votes,U.S. House,1,REP,Columbia,46 Apiary,,0
Under votes,U.S. House,1,REP,Columbia,46 Apiary,,15
Knute Buehler,Governor,,REP,Columbia,46 Apiary,,38
Keenen W Bohach,Governor,,REP,Columbia,46 Apiary,,0
Greg C Wooldridge,Governor,,REP,Columbia,46 Apiary,,19
Jonathan I Edwards III,Governor,,REP,Columbia,46 Apiary,,0
David W Stauffer,Governor,,REP,Columbia,46 Apiary,,2
Jeff Smith,Governor,,REP,Columbia,46 Apiary,,4
Jack W Tacy ,Governor,,REP,Columbia,46 Apiary,,1
Brett Hyland,Governor,,REP,Columbia,46 Apiary,,0
Bruce Cuff,Governor,,REP,Columbia,46 Apiary,,2
Sam Carpenter,Governor,,REP,Columbia,46 Apiary,,36
Write In,Governor,,REP,Columbia,46 Apiary,,0
Over votes,Governor,,REP,Columbia,46 Apiary,,0
Under votes,Governor,,REP,Columbia,46 Apiary,,1
Write In,State Senate,16,REP,Columbia,46 Apiary,,26
Over votes,State Senate,16,REP,Columbia,46 Apiary,,0
Under votes,State Senate,16,REP,Columbia,46 Apiary,,77
Brian G Stout,State House,31,REP,Columbia,46 Apiary,,57
Write In,State House,31,REP,Columbia,46 Apiary,,9
Over votes,State House,31,REP,Columbia,46 Apiary,,0
Under votes,State House,31,REP,Columbia,46 Apiary,,37
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,46 Apiary,,86
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,46 Apiary,,93
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,46 Apiary,,37
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,46 Apiary,,2
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,46 Apiary,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,46 Apiary,,41
,Registered Voters,,,Columbia,47 Chapman,,1023
,Registered Voters,,NonPartisan,Columbia,47 Chapman,,341
,Registered Voters,,DEM,Columbia,47 Chapman,,390
,Registered Voters,,IND,Columbia,47 Chapman,,34
,Registered Voters,,REP,Columbia,47 Chapman,,258
,Ballots Cast,,,Columbia,47 Chapman,,390
,Ballots Cast,,NonPartisan,Columbia,47 Chapman,,54
,Ballots Cast,,DEM,Columbia,47 Chapman,,188
,Ballots Cast,,IND,Columbia,47 Chapman,,11
,Ballots Cast,,REP,Columbia,47 Chapman,,137
,Ballots Cast,,Blank,Columbia,47 Chapman,,2
Ricky Barajas ,U.S. House,1,DEM,Columbia,47 Chapman,,12
Suzanne Bonamici,U.S. House,1,DEM,Columbia,47 Chapman,,144
Michael E Stansfield,U.S. House,1,DEM,Columbia,47 Chapman,,21
Write In,U.S. House,1,DEM,Columbia,47 Chapman,,1
Over votes,U.S. House,1,DEM,Columbia,47 Chapman,,0
Under votes,U.S. House,1,DEM,Columbia,47 Chapman,,10
Ed Jones,Governor,,DEM,Columbia,47 Chapman,,27
Kate Brown,Governor,,DEM,Columbia,47 Chapman,,118
Candace Neville,Governor,,DEM,Columbia,47 Chapman,,29
Write-Ins,Governor,,DEM,Columbia,47 Chapman,,3
Over votes,Governor,,DEM,Columbia,47 Chapman,,0
Under votes,Governor,,DEM,Columbia,47 Chapman,,11
Betsy Johnson,State Senate,16,DEM,Columbia,47 Chapman,,137
Write In,State Senate,16,DEM,Columbia,47 Chapman,,10
Over votes,State Senate,16,DEM,Columbia,47 Chapman,,1
Under votes,State Senate,16,DEM,Columbia,47 Chapman,,40
Brad Witt,State House,31,DEM,Columbia,47 Chapman,,149
Write In,State House,31,DEM,Columbia,47 Chapman,,4
Over votes,State House,31,DEM,Columbia,47 Chapman,,0
Under votes,State House,31,DEM,Columbia,47 Chapman,,35
Write In,U.S. House,1,IND,Columbia,47 Chapman,,5
Over votes,U.S. House,1,IND,Columbia,47 Chapman,,0
Under votes,U.S. House,1,IND,Columbia,47 Chapman,,6
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,47 Chapman,,0
Skye J Allen,Governor,,IND,Columbia,47 Chapman,,2
Patrick Starnes,Governor,,IND,Columbia,47 Chapman,,1
Write In,Governor,,IND,Columbia,47 Chapman,,6
Over votes,Governor,,IND,Columbia,47 Chapman,,0
Under votes,Governor,,IND,Columbia,47 Chapman,,2
Write In,State Senate,16,IND,Columbia,47 Chapman,,8
Over votes,State Senate,16,IND,Columbia,47 Chapman,,0
Under votes,State Senate,16,IND,Columbia,47 Chapman,,3
Write In,State House,31,IND,Columbia,47 Chapman,,6
Over votes,State House,31,IND,Columbia,47 Chapman,,0
Under votes,State House,31,IND,Columbia,47 Chapman,,5
John Verbeek,U.S. House,1,REP,Columbia,47 Chapman,,59
George Griffith,U.S. House,1,REP,Columbia,47 Chapman,,46
Preston L Miller,U.S. House,1,REP,Columbia,47 Chapman,,9
Write In,U.S. House,1,REP,Columbia,47 Chapman,,2
Over votes,U.S. House,1,REP,Columbia,47 Chapman,,0
Under votes,U.S. House,1,REP,Columbia,47 Chapman,,21
Knute Buehler,Governor,,REP,Columbia,47 Chapman,,49
Keenen W Bohach,Governor,,REP,Columbia,47 Chapman,,0
Greg C Wooldridge,Governor,,REP,Columbia,47 Chapman,,26
Jonathan I Edwards III,Governor,,REP,Columbia,47 Chapman,,0
David W Stauffer,Governor,,REP,Columbia,47 Chapman,,2
Jeff Smith,Governor,,REP,Columbia,47 Chapman,,3
Jack W Tacy ,Governor,,REP,Columbia,47 Chapman,,1
Brett Hyland,Governor,,REP,Columbia,47 Chapman,,0
Bruce Cuff,Governor,,REP,Columbia,47 Chapman,,0
Sam Carpenter,Governor,,REP,Columbia,47 Chapman,,51
Write In,Governor,,REP,Columbia,47 Chapman,,2
Over votes,Governor,,REP,Columbia,47 Chapman,,0
Under votes,Governor,,REP,Columbia,47 Chapman,,3
Write In,State Senate,16,REP,Columbia,47 Chapman,,25
Over votes,State Senate,16,REP,Columbia,47 Chapman,,0
Under votes,State Senate,16,REP,Columbia,47 Chapman,,112
Brian G Stout,State House,31,REP,Columbia,47 Chapman,,90
Write In,State House,31,REP,Columbia,47 Chapman,,2
Over votes,State House,31,REP,Columbia,47 Chapman,,0
Under votes,State House,31,REP,Columbia,47 Chapman,,45
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,47 Chapman,,130
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,47 Chapman,,150
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,47 Chapman,,39
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,47 Chapman,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,47 Chapman,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,47 Chapman,,70
,Registered Voters,,,Columbia,48 S Deer Island,,463
,Registered Voters,,NonPartisan,Columbia,48 S Deer Island,,161
,Registered Voters,,DEM,Columbia,48 S Deer Island,,138
,Registered Voters,,IND,Columbia,48 S Deer Island,,19
,Registered Voters,,REP,Columbia,48 S Deer Island,,145
,Ballots Cast,,,Columbia,48 S Deer Island,,144
,Ballots Cast,,NonPartisan,Columbia,48 S Deer Island,,22
,Ballots Cast,,DEM,Columbia,48 S Deer Island,,54
,Ballots Cast,,IND,Columbia,48 S Deer Island,,5
,Ballots Cast,,REP,Columbia,48 S Deer Island,,63
,Ballots Cast,,Blank,Columbia,48 S Deer Island,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,48 S Deer Island,,3
Suzanne Bonamici,U.S. House,1,DEM,Columbia,48 S Deer Island,,37
Michael E Stansfield,U.S. House,1,DEM,Columbia,48 S Deer Island,,7
Write In,U.S. House,1,DEM,Columbia,48 S Deer Island,,2
Over votes,U.S. House,1,DEM,Columbia,48 S Deer Island,,0
Under votes,U.S. House,1,DEM,Columbia,48 S Deer Island,,5
Ed Jones,Governor,,DEM,Columbia,48 S Deer Island,,7
Kate Brown,Governor,,DEM,Columbia,48 S Deer Island,,32
Candace Neville,Governor,,DEM,Columbia,48 S Deer Island,,8
Write-Ins,Governor,,DEM,Columbia,48 S Deer Island,,4
Over votes,Governor,,DEM,Columbia,48 S Deer Island,,0
Under votes,Governor,,DEM,Columbia,48 S Deer Island,,3
Betsy Johnson,State Senate,16,DEM,Columbia,48 S Deer Island,,41
Write In,State Senate,16,DEM,Columbia,48 S Deer Island,,2
Over votes,State Senate,16,DEM,Columbia,48 S Deer Island,,0
Under votes,State Senate,16,DEM,Columbia,48 S Deer Island,,11
Brad Witt,State House,31,DEM,Columbia,48 S Deer Island,,41
Write In,State House,31,DEM,Columbia,48 S Deer Island,,3
Over votes,State House,31,DEM,Columbia,48 S Deer Island,,0
Under votes,State House,31,DEM,Columbia,48 S Deer Island,,10
Write In,U.S. House,1,IND,Columbia,48 S Deer Island,,0
Over votes,U.S. House,1,IND,Columbia,48 S Deer Island,,0
Under votes,U.S. House,1,IND,Columbia,48 S Deer Island,,5
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,48 S Deer Island,,0
Skye J Allen,Governor,,IND,Columbia,48 S Deer Island,,1
Patrick Starnes,Governor,,IND,Columbia,48 S Deer Island,,1
Write In,Governor,,IND,Columbia,48 S Deer Island,,2
Over votes,Governor,,IND,Columbia,48 S Deer Island,,0
Under votes,Governor,,IND,Columbia,48 S Deer Island,,1
Write In,State Senate,16,IND,Columbia,48 S Deer Island,,2
Over votes,State Senate,16,IND,Columbia,48 S Deer Island,,0
Under votes,State Senate,16,IND,Columbia,48 S Deer Island,,3
Write In,State House,31,IND,Columbia,48 S Deer Island,,2
Over votes,State House,31,IND,Columbia,48 S Deer Island,,0
Under votes,State House,31,IND,Columbia,48 S Deer Island,,3
John Verbeek,U.S. House,1,REP,Columbia,48 S Deer Island,,26
George Griffith,U.S. House,1,REP,Columbia,48 S Deer Island,,19
Preston L Miller,U.S. House,1,REP,Columbia,48 S Deer Island,,6
Write In,U.S. House,1,REP,Columbia,48 S Deer Island,,0
Over votes,U.S. House,1,REP,Columbia,48 S Deer Island,,0
Under votes,U.S. House,1,REP,Columbia,48 S Deer Island,,12
Knute Buehler,Governor,,REP,Columbia,48 S Deer Island,,30
Keenen W Bohach,Governor,,REP,Columbia,48 S Deer Island,,0
Greg C Wooldridge,Governor,,REP,Columbia,48 S Deer Island,,16
Jonathan I Edwards III,Governor,,REP,Columbia,48 S Deer Island,,0
David W Stauffer,Governor,,REP,Columbia,48 S Deer Island,,0
Jeff Smith,Governor,,REP,Columbia,48 S Deer Island,,0
Jack W Tacy ,Governor,,REP,Columbia,48 S Deer Island,,0
Brett Hyland,Governor,,REP,Columbia,48 S Deer Island,,0
Bruce Cuff,Governor,,REP,Columbia,48 S Deer Island,,0
Sam Carpenter,Governor,,REP,Columbia,48 S Deer Island,,14
Write In,Governor,,REP,Columbia,48 S Deer Island,,0
Over votes,Governor,,REP,Columbia,48 S Deer Island,,0
Under votes,Governor,,REP,Columbia,48 S Deer Island,,3
Write In,State Senate,16,REP,Columbia,48 S Deer Island,,13
Over votes,State Senate,16,REP,Columbia,48 S Deer Island,,0
Under votes,State Senate,16,REP,Columbia,48 S Deer Island,,50
Brian G Stout,State House,31,REP,Columbia,48 S Deer Island,,35
Write In,State House,31,REP,Columbia,48 S Deer Island,,0
Over votes,State House,31,REP,Columbia,48 S Deer Island,,0
Under votes,State House,31,REP,Columbia,48 S Deer Island,,28
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,48 S Deer Island,,52
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,48 S Deer Island,,42
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,48 S Deer Island,,21
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,48 S Deer Island,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,48 S Deer Island,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,48 S Deer Island,,28
,Registered Voters,,,Columbia,49 N Deer Island,,660
,Registered Voters,,NonPartisan,Columbia,49 N Deer Island,,232
,Registered Voters,,DEM,Columbia,49 N Deer Island,,203
,Registered Voters,,IND,Columbia,49 N Deer Island,,32
,Registered Voters,,REP,Columbia,49 N Deer Island,,193
,Ballots Cast,,,Columbia,49 N Deer Island,,232
,Ballots Cast,,NonPartisan,Columbia,49 N Deer Island,,36
,Ballots Cast,,DEM,Columbia,49 N Deer Island,,82
,Ballots Cast,,IND,Columbia,49 N Deer Island,,12
,Ballots Cast,,REP,Columbia,49 N Deer Island,,102
,Ballots Cast,,Blank,Columbia,49 N Deer Island,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,49 N Deer Island,,2
Suzanne Bonamici,U.S. House,1,DEM,Columbia,49 N Deer Island,,65
Michael E Stansfield,U.S. House,1,DEM,Columbia,49 N Deer Island,,8
Write In,U.S. House,1,DEM,Columbia,49 N Deer Island,,2
Over votes,U.S. House,1,DEM,Columbia,49 N Deer Island,,0
Under votes,U.S. House,1,DEM,Columbia,49 N Deer Island,,5
Ed Jones,Governor,,DEM,Columbia,49 N Deer Island,,12
Kate Brown,Governor,,DEM,Columbia,49 N Deer Island,,58
Candace Neville,Governor,,DEM,Columbia,49 N Deer Island,,4
Write-Ins,Governor,,DEM,Columbia,49 N Deer Island,,5
Over votes,Governor,,DEM,Columbia,49 N Deer Island,,0
Under votes,Governor,,DEM,Columbia,49 N Deer Island,,3
Betsy Johnson,State Senate,16,DEM,Columbia,49 N Deer Island,,69
Write In,State Senate,16,DEM,Columbia,49 N Deer Island,,1
Over votes,State Senate,16,DEM,Columbia,49 N Deer Island,,1
Under votes,State Senate,16,DEM,Columbia,49 N Deer Island,,11
Brad Witt,State House,31,DEM,Columbia,49 N Deer Island,,69
Write In,State House,31,DEM,Columbia,49 N Deer Island,,1
Over votes,State House,31,DEM,Columbia,49 N Deer Island,,0
Under votes,State House,31,DEM,Columbia,49 N Deer Island,,12
Write In,U.S. House,1,IND,Columbia,49 N Deer Island,,4
Over votes,U.S. House,1,IND,Columbia,49 N Deer Island,,0
Under votes,U.S. House,1,IND,Columbia,49 N Deer Island,,8
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,49 N Deer Island,,1
Skye J Allen,Governor,,IND,Columbia,49 N Deer Island,,0
Patrick Starnes,Governor,,IND,Columbia,49 N Deer Island,,2
Write In,Governor,,IND,Columbia,49 N Deer Island,,7
Over votes,Governor,,IND,Columbia,49 N Deer Island,,0
Under votes,Governor,,IND,Columbia,49 N Deer Island,,2
Write In,State Senate,16,IND,Columbia,49 N Deer Island,,5
Over votes,State Senate,16,IND,Columbia,49 N Deer Island,,0
Under votes,State Senate,16,IND,Columbia,49 N Deer Island,,7
Write In,State House,31,IND,Columbia,49 N Deer Island,,6
Over votes,State House,31,IND,Columbia,49 N Deer Island,,0
Under votes,State House,31,IND,Columbia,49 N Deer Island,,6
John Verbeek,U.S. House,1,REP,Columbia,49 N Deer Island,,52
George Griffith,U.S. House,1,REP,Columbia,49 N Deer Island,,22
Preston L Miller,U.S. House,1,REP,Columbia,49 N Deer Island,,7
Write In,U.S. House,1,REP,Columbia,49 N Deer Island,,0
Over votes,U.S. House,1,REP,Columbia,49 N Deer Island,,0
Under votes,U.S. House,1,REP,Columbia,49 N Deer Island,,21
Knute Buehler,Governor,,REP,Columbia,49 N Deer Island,,34
Keenen W Bohach,Governor,,REP,Columbia,49 N Deer Island,,0
Greg C Wooldridge,Governor,,REP,Columbia,49 N Deer Island,,16
Jonathan I Edwards III,Governor,,REP,Columbia,49 N Deer Island,,0
David W Stauffer,Governor,,REP,Columbia,49 N Deer Island,,0
Jeff Smith,Governor,,REP,Columbia,49 N Deer Island,,1
Jack W Tacy ,Governor,,REP,Columbia,49 N Deer Island,,0
Brett Hyland,Governor,,REP,Columbia,49 N Deer Island,,0
Bruce Cuff,Governor,,REP,Columbia,49 N Deer Island,,0
Sam Carpenter,Governor,,REP,Columbia,49 N Deer Island,,49
Write In,Governor,,REP,Columbia,49 N Deer Island,,0
Over votes,Governor,,REP,Columbia,49 N Deer Island,,0
Under votes,Governor,,REP,Columbia,49 N Deer Island,,2
Write In,State Senate,16,REP,Columbia,49 N Deer Island,,22
Over votes,State Senate,16,REP,Columbia,49 N Deer Island,,0
Under votes,State Senate,16,REP,Columbia,49 N Deer Island,,80
Brian G Stout,State House,31,REP,Columbia,49 N Deer Island,,69
Write In,State House,31,REP,Columbia,49 N Deer Island,,1
Over votes,State House,31,REP,Columbia,49 N Deer Island,,0
Under votes,State House,31,REP,Columbia,49 N Deer Island,,32
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,49 N Deer Island,,81
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,49 N Deer Island,,68
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,49 N Deer Island,,47
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,49 N Deer Island,,3
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,49 N Deer Island,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,49 N Deer Island,,33
,Registered Voters,,,Columbia,50 City of Prescott,,51
,Registered Voters,,NonPartisan,Columbia,50 City of Prescott,,14
,Registered Voters,,DEM,Columbia,50 City of Prescott,,21
,Registered Voters,,IND,Columbia,50 City of Prescott,,2
,Registered Voters,,REP,Columbia,50 City of Prescott,,14
,Ballots Cast,,,Columbia,50 City of Prescott,,14
,Ballots Cast,,NonPartisan,Columbia,50 City of Prescott,,2
,Ballots Cast,,DEM,Columbia,50 City of Prescott,,4
,Ballots Cast,,IND,Columbia,50 City of Prescott,,0
,Ballots Cast,,REP,Columbia,50 City of Prescott,,8
,Ballots Cast,,Blank,Columbia,50 City of Prescott,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,50 City of Prescott,,0
Suzanne Bonamici,U.S. House,1,DEM,Columbia,50 City of Prescott,,4
Michael E Stansfield,U.S. House,1,DEM,Columbia,50 City of Prescott,,0
Write In,U.S. House,1,DEM,Columbia,50 City of Prescott,,0
Over votes,U.S. House,1,DEM,Columbia,50 City of Prescott,,0
Under votes,U.S. House,1,DEM,Columbia,50 City of Prescott,,0
Ed Jones,Governor,,DEM,Columbia,50 City of Prescott,,0
Kate Brown,Governor,,DEM,Columbia,50 City of Prescott,,3
Candace Neville,Governor,,DEM,Columbia,50 City of Prescott,,1
Write-Ins,Governor,,DEM,Columbia,50 City of Prescott,,0
Over votes,Governor,,DEM,Columbia,50 City of Prescott,,0
Under votes,Governor,,DEM,Columbia,50 City of Prescott,,0
Betsy Johnson,State Senate,16,DEM,Columbia,50 City of Prescott,,4
Write In,State Senate,16,DEM,Columbia,50 City of Prescott,,0
Over votes,State Senate,16,DEM,Columbia,50 City of Prescott,,0
Under votes,State Senate,16,DEM,Columbia,50 City of Prescott,,0
Brad Witt,State House,31,DEM,Columbia,50 City of Prescott,,2
Write In,State House,31,DEM,Columbia,50 City of Prescott,,0
Over votes,State House,31,DEM,Columbia,50 City of Prescott,,0
Under votes,State House,31,DEM,Columbia,50 City of Prescott,,2
Write In,U.S. House,1,IND,Columbia,50 City of Prescott,,0
Over votes,U.S. House,1,IND,Columbia,50 City of Prescott,,0
Under votes,U.S. House,1,IND,Columbia,50 City of Prescott,,0
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,50 City of Prescott,,0
Skye J Allen,Governor,,IND,Columbia,50 City of Prescott,,0
Patrick Starnes,Governor,,IND,Columbia,50 City of Prescott,,0
Write In,Governor,,IND,Columbia,50 City of Prescott,,0
Over votes,Governor,,IND,Columbia,50 City of Prescott,,0
Under votes,Governor,,IND,Columbia,50 City of Prescott,,0
Write In,State Senate,16,IND,Columbia,50 City of Prescott,,0
Over votes,State Senate,16,IND,Columbia,50 City of Prescott,,0
Under votes,State Senate,16,IND,Columbia,50 City of Prescott,,0
Write In,State House,31,IND,Columbia,50 City of Prescott,,0
Over votes,State House,31,IND,Columbia,50 City of Prescott,,0
Under votes,State House,31,IND,Columbia,50 City of Prescott,,0
John Verbeek,U.S. House,1,REP,Columbia,50 City of Prescott,,4
George Griffith,U.S. House,1,REP,Columbia,50 City of Prescott,,4
Preston L Miller,U.S. House,1,REP,Columbia,50 City of Prescott,,0
Write In,U.S. House,1,REP,Columbia,50 City of Prescott,,0
Over votes,U.S. House,1,REP,Columbia,50 City of Prescott,,0
Under votes,U.S. House,1,REP,Columbia,50 City of Prescott,,0
Knute Buehler,Governor,,REP,Columbia,50 City of Prescott,,5
Keenen W Bohach,Governor,,REP,Columbia,50 City of Prescott,,0
Greg C Wooldridge,Governor,,REP,Columbia,50 City of Prescott,,1
Jonathan I Edwards III,Governor,,REP,Columbia,50 City of Prescott,,0
David W Stauffer,Governor,,REP,Columbia,50 City of Prescott,,0
Jeff Smith,Governor,,REP,Columbia,50 City of Prescott,,0
Jack W Tacy ,Governor,,REP,Columbia,50 City of Prescott,,0
Brett Hyland,Governor,,REP,Columbia,50 City of Prescott,,0
Bruce Cuff,Governor,,REP,Columbia,50 City of Prescott,,0
Sam Carpenter,Governor,,REP,Columbia,50 City of Prescott,,2
Write In,Governor,,REP,Columbia,50 City of Prescott,,0
Over votes,Governor,,REP,Columbia,50 City of Prescott,,0
Under votes,Governor,,REP,Columbia,50 City of Prescott,,0
Write In,State Senate,16,REP,Columbia,50 City of Prescott,,0
Over votes,State Senate,16,REP,Columbia,50 City of Prescott,,0
Under votes,State Senate,16,REP,Columbia,50 City of Prescott,,8
Brian G Stout,State House,31,REP,Columbia,50 City of Prescott,,7
Write In,State House,31,REP,Columbia,50 City of Prescott,,0
Over votes,State House,31,REP,Columbia,50 City of Prescott,,0
Under votes,State House,31,REP,Columbia,50 City of Prescott,,1
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,50 City of Prescott,,6
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,50 City of Prescott,,3
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,50 City of Prescott,,3
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,50 City of Prescott,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,50 City of Prescott,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,50 City of Prescott,,2
,Registered Voters,,,Columbia,51 Mist,,357
,Registered Voters,,NonPartisan,Columbia,51 Mist,,123
,Registered Voters,,DEM,Columbia,51 Mist,,96
,Registered Voters,,IND,Columbia,51 Mist,,13
,Registered Voters,,REP,Columbia,51 Mist,,125
,Ballots Cast,,,Columbia,51 Mist,,143
,Ballots Cast,,NonPartisan,Columbia,51 Mist,,30
,Ballots Cast,,DEM,Columbia,51 Mist,,44
,Ballots Cast,,IND,Columbia,51 Mist,,5
,Ballots Cast,,REP,Columbia,51 Mist,,64
,Ballots Cast,,Blank,Columbia,51 Mist,,2
Ricky Barajas ,U.S. House,1,DEM,Columbia,51 Mist,,0
Suzanne Bonamici,U.S. House,1,DEM,Columbia,51 Mist,,40
Michael E Stansfield,U.S. House,1,DEM,Columbia,51 Mist,,0
Write In,U.S. House,1,DEM,Columbia,51 Mist,,1
Over votes,U.S. House,1,DEM,Columbia,51 Mist,,0
Under votes,U.S. House,1,DEM,Columbia,51 Mist,,3
Ed Jones,Governor,,DEM,Columbia,51 Mist,,7
Kate Brown,Governor,,DEM,Columbia,51 Mist,,28
Candace Neville,Governor,,DEM,Columbia,51 Mist,,4
Write-Ins,Governor,,DEM,Columbia,51 Mist,,4
Over votes,Governor,,DEM,Columbia,51 Mist,,0
Under votes,Governor,,DEM,Columbia,51 Mist,,1
Betsy Johnson,State Senate,16,DEM,Columbia,51 Mist,,37
Write In,State Senate,16,DEM,Columbia,51 Mist,,0
Over votes,State Senate,16,DEM,Columbia,51 Mist,,0
Under votes,State Senate,16,DEM,Columbia,51 Mist,,7
Brad Witt,State House,31,DEM,Columbia,51 Mist,,39
Write In,State House,31,DEM,Columbia,51 Mist,,0
Over votes,State House,31,DEM,Columbia,51 Mist,,0
Under votes,State House,31,DEM,Columbia,51 Mist,,5
Write In,U.S. House,1,IND,Columbia,51 Mist,,2
Over votes,U.S. House,1,IND,Columbia,51 Mist,,0
Under votes,U.S. House,1,IND,Columbia,51 Mist,,3
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,51 Mist,,0
Skye J Allen,Governor,,IND,Columbia,51 Mist,,0
Patrick Starnes,Governor,,IND,Columbia,51 Mist,,2
Write In,Governor,,IND,Columbia,51 Mist,,2
Over votes,Governor,,IND,Columbia,51 Mist,,0
Under votes,Governor,,IND,Columbia,51 Mist,,1
Write In,State Senate,16,IND,Columbia,51 Mist,,3
Over votes,State Senate,16,IND,Columbia,51 Mist,,0
Under votes,State Senate,16,IND,Columbia,51 Mist,,2
Write In,State House,31,IND,Columbia,51 Mist,,3
Over votes,State House,31,IND,Columbia,51 Mist,,0
Under votes,State House,31,IND,Columbia,51 Mist,,2
John Verbeek,U.S. House,1,REP,Columbia,51 Mist,,22
George Griffith,U.S. House,1,REP,Columbia,51 Mist,,18
Preston L Miller,U.S. House,1,REP,Columbia,51 Mist,,5
Write In,U.S. House,1,REP,Columbia,51 Mist,,0
Over votes,U.S. House,1,REP,Columbia,51 Mist,,0
Under votes,U.S. House,1,REP,Columbia,51 Mist,,19
Knute Buehler,Governor,,REP,Columbia,51 Mist,,15
Keenen W Bohach,Governor,,REP,Columbia,51 Mist,,0
Greg C Wooldridge,Governor,,REP,Columbia,51 Mist,,13
Jonathan I Edwards III,Governor,,REP,Columbia,51 Mist,,0
David W Stauffer,Governor,,REP,Columbia,51 Mist,,1
Jeff Smith,Governor,,REP,Columbia,51 Mist,,0
Jack W Tacy ,Governor,,REP,Columbia,51 Mist,,0
Brett Hyland,Governor,,REP,Columbia,51 Mist,,0
Bruce Cuff,Governor,,REP,Columbia,51 Mist,,2
Sam Carpenter,Governor,,REP,Columbia,51 Mist,,31
