candidate,votes,pct,office,precinct,district,party
Cast Votes: ,1483,92.57%,U.S. House,054,5,
Over Votes: ,0,0.00%,U.S. House,054,5,
Under Votes: ,119,7.43%,U.S. House,054,5,
Dennis Richardson,569,37.17%,Governor,054,,
Chris Henry,18,1.18%,Governor,054,,
Aaron Auer,10,0.65%,Governor,054,,
John  Kitzhaber,878,57.35%,Governor,054,,
Paul Grad,15,0.98%,Governor,054,,
Jason  Levin,27,1.76%,Governor,054,,
Write-in,14,0.91%,Governor,054,,
Cast Votes: ,1531,95.57%,Governor,054,,
Over Votes: ,0,0.00%,Governor,054,,
Under Votes: ,71,4.43%,Governor,054,,
Timothy E McMenamin,548,38.03%,State House,054,41,
Kathleen  Taylor,880,61.07%,State House,054,41,
Write-in,13,0.90%,State House,054,41,
Cast Votes: ,1441,89.95%,State House,054,41,
Over Votes: ,0,0.00%,State House,054,41,
Under Votes: ,161,10.05%,State House,054,41,
Mike Montchalin,52,3.29%,U.S. Senate,055,,
Jeff Merkley,955,60.48%,U.S. Senate,055,,
Christina Jean Lugo,31,1.96%,U.S. Senate,055,,
James E Leuenberger,28,1.77%,U.S. Senate,055,,
Monica Wehby,495,31.35%,U.S. Senate,055,,
Write-in,18,1.14%,U.S. Senate,055,,
Cast Votes: ,1579,94.04%,U.S. Senate,055,,
Over Votes: ,0,0.00%,U.S. Senate,055,,
Under Votes: ,100,5.96%,U.S. Senate,055,,
Raymond Baldwin,43,2.77%,U.S. House,055,5,
Daniel K Souza,36,2.32%,U.S. House,055,5,
Kurt Schrader,952,61.38%,U.S. House,055,5,
Tootie Smith,460,29.66%,U.S. House,055,5,
Marvin Sannes,52,3.35%,U.S. House,055,5,
Write-in,8,0.52%,U.S. House,055,5,
Cast Votes: ,1551,92.38%,U.S. House,055,5,
Over Votes: ,0,0.00%,U.S. House,055,5,
Under Votes: ,128,7.62%,U.S. House,055,5,
Dennis Richardson,624,39.25%,Governor,055,,
Chris Henry,17,1.07%,Governor,055,,
Aaron Auer,29,1.82%,Governor,055,,
John  Kitzhaber,850,53.46%,Governor,055,,
Paul Grad,18,1.13%,Governor,055,,
Jason  Levin,39,2.45%,Governor,055,,
Write-in,13,0.82%,Governor,055,,
Cast Votes: ,1590,94.70%,Governor,055,,
Over Votes: ,0,0.00%,Governor,055,,
Under Votes: ,89,5.30%,Governor,055,,
Timothy E McMenamin,616,41.45%,State House,055,41,
Kathleen  Taylor,866,58.28%,State House,055,41,
Write-in,4,0.27%,State House,055,41,
Cast Votes: ,1486,88.51%,State House,055,41,
Over Votes: ,0,0.00%,State House,055,41,
Under Votes: ,193,11.49%,State House,055,41,
Mike Montchalin,0,0.00%,U.S. Senate,070,,
Jeff Merkley,0,0.00%,U.S. Senate,070,,
Christina Jean Lugo,0,0.00%,U.S. Senate,070,,
James E Leuenberger,0,0.00%,U.S. Senate,070,,
Monica Wehby,4,100.00%,U.S. Senate,070,,
Write-in,0,0.00%,U.S. Senate,070,,
Cast Votes: ,4,100.00%,U.S. Senate,070,,
Over Votes: ,0,0.00%,U.S. Senate,070,,
Under Votes: ,0,0.00%,U.S. Senate,070,,
Raymond Baldwin,0,0.00%,U.S. House,070,5,
Daniel K Souza,0,0.00%,U.S. House,070,5,
Kurt Schrader,3,100.00%,U.S. House,070,5,
Tootie Smith,0,0.00%,U.S. House,070,5,
Marvin Sannes,0,0.00%,U.S. House,070,5,
Write-in,0,0.00%,U.S. House,070,5,
Cast Votes: ,3,75.00%,U.S. House,070,5,
Over Votes: ,0,0.00%,U.S. House,070,5,
Under Votes: ,1,25.00%,U.S. House,070,5,
Dennis Richardson,2,100.00%,Governor,070,,
Chris Henry,0,0.00%,Governor,070,,
Aaron Auer,0,0.00%,Governor,070,,
John  Kitzhaber,0,0.00%,Governor,070,,
Paul Grad,0,0.00%,Governor,070,,
Jason  Levin,0,0.00%,Governor,070,,
Write-in,0,0.00%,Governor,070,,
Cast Votes: ,2,50.00%,Governor,070,,
Over Votes: ,0,0.00%,Governor,070,,
Under Votes: ,2,50.00%,Governor,070,,
Richard  Devlin ,1,100.00%,State Senate,070,19,
Write-in ,0,0.00%,State Senate,070,19,
Cast Votes: ,1,25.00%,State Senate,070,19,
Over Votes: ,0,0.00%,State Senate,070,19,
Under Votes: ,3,75.00%,State Senate,070,19,
Ann Lininger ,1,100.00%,State House,070,38,
Write-in ,0,0.00%,State House,070,38,
Cast Votes: ,1,25.00%,State House,070,38,
Over Votes: ,0,0.00%,State House,070,38,
Under Votes: ,3,75.00%,State House,070,38,
Mike Montchalin,3,2.63%,U.S. Senate,071,,
Jeff Merkley,70,61.40%,U.S. Senate,071,,
Christina Jean Lugo,1,0.88%,U.S. Senate,071,,
James E Leuenberger,0,0.00%,U.S. Senate,071,,
Monica Wehby,40,35.09%,U.S. Senate,071,,
Write-in,0,0.00%,U.S. Senate,071,,
Cast Votes: ,114,90.48%,U.S. Senate,071,,
Over Votes: ,0,0.00%,U.S. Senate,071,,
Under Votes: ,12,9.52%,U.S. Senate,071,,
Raymond Baldwin,0,0.00%,U.S. House,071,5,
Daniel K Souza,2,1.69%,U.S. House,071,5,
Kurt Schrader,75,63.56%,U.S. House,071,5,
Tootie Smith,40,33.90%,U.S. House,071,5,
Marvin Sannes,1,0.85%,U.S. House,071,5,
Write-in,0,0.00%,U.S. House,071,5,
Cast Votes: ,118,93.65%,U.S. House,071,5,
Over Votes: ,0,0.00%,U.S. House,071,5,
Under Votes: ,8,6.35%,U.S. House,071,5,
Dennis Richardson,53,44.17%,Governor,071,,
Chris Henry,1,0.83%,Governor,071,,
Aaron Auer,0,0.00%,Governor,071,,
John  Kitzhaber,64,53.33%,Governor,071,,
Paul Grad,0,0.00%,Governor,071,,
Jason  Levin,2,1.67%,Governor,071,,
Write-in,0,0.00%,Governor,071,,
Cast Votes: ,120,95.24%,Governor,071,,
Over Votes: ,0,0.00%,Governor,071,,
Under Votes: ,6,4.76%,Governor,071,,
Timothy E McMenamin,50,43.86%,State House,071,41,
Kathleen  Taylor,64,56.14%,State House,071,41,
Write-in,0,0.00%,State House,071,41,
Cast Votes: ,114,90.48%,State House,071,41,
Over Votes: ,0,0.00%,State House,071,41,
Under Votes: ,12,9.52%,State House,071,41,
Mike Montchalin,4,5.97%,U.S. Senate,072,,
Jeff Merkley,47,70.15%,U.S. Senate,072,,
Christina Jean Lugo,0,0.00%,U.S. Senate,072,,
James E Leuenberger,1,1.49%,U.S. Senate,072,,
Monica Wehby,15,22.39%,U.S. Senate,072,,
Write-in,0,0.00%,U.S. Senate,072,,
Cast Votes: ,67,98.53%,U.S. Senate,072,,
Over Votes: ,0,0.00%,U.S. Senate,072,,
Under Votes: ,1,1.47%,U.S. Senate,072,,
Raymond Baldwin,1,1.56%,U.S. House,072,5,
Daniel K Souza,1,1.56%,U.S. House,072,5,
Kurt Schrader,43,67.19%,U.S. House,072,5,
Tootie Smith,18,28.13%,U.S. House,072,5,
Marvin Sannes,1,1.56%,U.S. House,072,5,
Write-in,0,0.00%,U.S. House,072,5,
Cast Votes: ,64,94.12%,U.S. House,072,5,
Over Votes: ,0,0.00%,U.S. House,072,5,
Under Votes: ,4,5.88%,U.S. House,072,5,
Dennis Richardson,23,35.38%,Governor,072,,
Chris Henry,0,0.00%,Governor,072,,
Aaron Auer,1,1.54%,Governor,072,,
John  Kitzhaber,37,56.92%,Governor,072,,
Paul Grad,1,1.54%,Governor,072,,
Jason  Levin,3,4.62%,Governor,072,,
Write-in,0,0.00%,Governor,072,,
Cast Votes: ,65,95.59%,Governor,072,,
Over Votes: ,1,1.47%,Governor,072,,
Under Votes: ,2,2.94%,Governor,072,,
Timothy E McMenamin,27,41.54%,State House,072,41,
Kathleen  Taylor,38,58.46%,State House,072,41,
Write-in,0,0.00%,State House,072,41,
Cast Votes: ,65,95.59%,State House,072,41,
Over Votes: ,0,0.00%,State House,072,41,
Under Votes: ,3,4.41%,State House,072,41,
Mike Montchalin,1,0.87%,U.S. Senate,073,,
Jeff Merkley,66,57.39%,U.S. Senate,073,,
Christina Jean Lugo,4,3.48%,U.S. Senate,073,,
James E Leuenberger,0,0.00%,U.S. Senate,073,,
Monica Wehby,43,37.39%,U.S. Senate,073,,
Write-in,1,0.87%,U.S. Senate,073,,
Cast Votes: ,115,95.04%,U.S. Senate,073,,
Over Votes: ,1,0.83%,U.S. Senate,073,,
Under Votes: ,5,4.13%,U.S. Senate,073,,
Raymond Baldwin,4,3.57%,U.S. House,073,5,
Daniel K Souza,1,0.89%,U.S. House,073,5,
Kurt Schrader,70,62.50%,U.S. House,073,5,
Tootie Smith,36,32.14%,U.S. House,073,5,
Marvin Sannes,1,0.89%,U.S. House,073,5,
Write-in,0,0.00%,U.S. House,073,5,
Cast Votes: ,112,92.56%,U.S. House,073,5,
Over Votes: ,0,0.00%,U.S. House,073,5,
Under Votes: ,9,7.44%,U.S. House,073,5,
Dennis Richardson,56,47.86%,Governor,073,,
Chris Henry,1,0.85%,Governor,073,,
Aaron Auer,0,0.00%,Governor,073,,
John  Kitzhaber,53,45.30%,Governor,073,,
Paul Grad,2,1.71%,Governor,073,,
Jason  Levin,3,2.56%,Governor,073,,
Write-in,2,1.71%,Governor,073,,
Cast Votes: ,117,96.69%,Governor,073,,
Over Votes: ,0,0.00%,Governor,073,,
Under Votes: ,4,3.31%,Governor,073,,
Rod Monroe ,74,91.36%,State Senate,073,24,
Write-in ,7,8.64%,State Senate,073,24,
Cast Votes: ,81,66.94%,State Senate,073,24,
Over Votes: ,0,0.00%,State Senate,073,24,
Under Votes: ,40,33.06%,State Senate,073,24,
Jeff Reardon,70,67.31%,State House,073,48,
Geo (Sonny) W Yellott,34,32.69%,State House,073,48,
Write-in,0,0.00%,State House,073,48,
Cast Votes:,104,85.95%,State House,073,48,
Over Votes:,0,0.00%,State House,073,48,
Under Votes:,17,14.05%,State House,073,48,
Mike Montchalin,0,0.00%,U.S. Senate,074,,
Jeff Merkley,14,34.15%,U.S. Senate,074,,
Christina Jean Lugo,0,0.00%,U.S. Senate,074,,
James E Leuenberger,0,0.00%,U.S. Senate,074,,
Monica Wehby,26,63.41%,U.S. Senate,074,,
Write-in,1,2.44%,U.S. Senate,074,,
Cast Votes: ,41,95.35%,U.S. Senate,074,,
Over Votes: ,0,0.00%,U.S. Senate,074,,
Under Votes: ,2,4.65%,U.S. Senate,074,,
Raymond Baldwin,0,0.00%,U.S. House,074,5,
Daniel K Souza,0,0.00%,U.S. House,074,5,
Kurt Schrader,16,39.02%,U.S. House,074,5,
Tootie Smith,25,60.98%,U.S. House,074,5,
Marvin Sannes,0,0.00%,U.S. House,074,5,
Write-in,0,0.00%,U.S. House,074,5,
Cast Votes: ,41,95.35%,U.S. House,074,5,
Over Votes: ,0,0.00%,U.S. House,074,5,
Under Votes: ,2,4.65%,U.S. House,074,5,
Dennis Richardson,26,63.41%,Governor,074,,
Chris Henry,0,0.00%,Governor,074,,
Aaron Auer,0,0.00%,Governor,074,,
John  Kitzhaber,15,36.59%,Governor,074,,
Paul Grad,0,0.00%,Governor,074,,
Jason  Levin,0,0.00%,Governor,074,,
Write-in,0,0.00%,Governor,074,,
Cast Votes: ,41,95.35%,Governor,074,,
Over Votes: ,0,0.00%,Governor,074,,
Under Votes: ,2,4.65%,Governor,074,,
Chuck Thomsen,26,68.42%,State Senate,074,26,
Robert R Bruce,12,31.58%,State Senate,074,26,
Write-in,0,0.00%,State Senate,074,26,
Cast Votes: ,38,88.37%,State Senate,074,26,
Over Votes: ,0,0.00%,State Senate,074,26,
Under Votes: ,5,11.63%,State Senate,074,26,
Jodi Bailey,26,63.41%,State House,074,51,
Shemia Fagan,15,36.59%,State House,074,51,
Write-in,0,0.00%,State House,074,51,
Cast Votes:,41,95.35%,State House,074,51,
Over Votes:,0,0.00%,State House,074,51,
Under Votes:,2,4.65%,State House,074,51,
Mike Montchalin,1,0.40%,U.S. Senate,100,,
Jeff Merkley,98,39.20%,U.S. Senate,100,,
Christina Jean Lugo,2,0.80%,U.S. Senate,100,,
James E Leuenberger,4,1.60%,U.S. Senate,100,,
Monica Wehby,143,57.20%,U.S. Senate,100,,
Write-in,2,0.80%,U.S. Senate,100,,
Cast Votes: ,250,95.06%,U.S. Senate,100,,
Over Votes: ,0,0.00%,U.S. Senate,100,,
Under Votes: ,13,4.94%,U.S. Senate,100,,
Michael Meo,0,0.00%,U.S. House,100,3,
James Buchal,121,49.79%,U.S. House,100,3,
Earl Blumenauer,112,46.09%,U.S. House,100,3,
Jeffrey J Langan,6,2.47%,U.S. House,100,3,
David Walker,4,1.65%,U.S. House,100,3,
Write-in,0,0.00%,U.S. House,100,3,
Cast Votes: ,243,92.40%,U.S. House,100,3,
Over Votes: ,0,0.00%,U.S. House,100,3,
Under Votes: ,20,7.60%,U.S. House,100,3,
Dennis Richardson,164,65.60%,Governor,100,,
Chris Henry,1,0.40%,Governor,100,,
Aaron Auer,0,0.00%,Governor,100,,
John  Kitzhaber,83,33.20%,Governor,100,,
Paul Grad,1,0.40%,Governor,100,,
Jason  Levin,0,0.00%,Governor,100,,
Write-in,1,0.40%,Governor,100,,
Cast Votes: ,250,95.06%,Governor,100,,
Over Votes: ,0,0.00%,Governor,100,,
Under Votes: ,13,4.94%,Governor,100,,
Rod Monroe ,140,95.89%,State Senate,100,24,
Write-in ,6,4.11%,State Senate,100,24,
Cast Votes: ,146,55.51%,State Senate,100,24,
Over Votes: ,0,0.00%,State Senate,100,24,
Under Votes: ,117,44.49%,State Senate,100,24,
Jeff Reardon,100,45.05%,State House,100,48,
Geo (Sonny) W Yellott,122,54.95%,State House,100,48,
Write-in,0,0.00%,State House,100,48,
Cast Votes: ,222,84.41%,State House,100,48,
Over Votes: ,0,0.00%,State House,100,48,
Under Votes: ,41,15.59%,State House,100,48,
Mike Montchalin,67,2.54%,U.S. Senate,101,,
Jeff Merkley,1293,49.09%,U.S. Senate,101,,
Christina Jean Lugo,27,1.03%,U.S. Senate,101,,
James E Leuenberger,25,0.95%,U.S. Senate,101,,
Monica Wehby,1214,46.09%,U.S. Senate,101,,
Write-in,8,0.30%,U.S. Senate,101,,
Cast Votes: ,2634,95.96%,U.S. Senate,101,,
Over Votes: ,0,0.00%,U.S. Senate,101,,
Under Votes: ,111,4.04%,U.S. Senate,101,,
Michael Meo,41,1.62%,U.S. House,101,3,
James Buchal,1085,42.97%,U.S. House,101,3,
Earl Blumenauer,1305,51.68%,U.S. House,101,3,
Jeffrey J Langan,68,2.69%,U.S. House,101,3,
David Walker,21,0.83%,U.S. House,101,3,
Write-in,5,0.20%,U.S. House,101,3,
Cast Votes: ,2525,91.99%,U.S. House,101,3,
Over Votes: ,1,0.04%,U.S. House,101,3,
Under Votes: ,219,7.98%,U.S. House,101,3,
Dennis Richardson,1381,52.33%,Governor,101,,
Chris Henry,23,0.87%,Governor,101,,
Aaron Auer,24,0.91%,Governor,101,,
John  Kitzhaber,1135,43.01%,Governor,101,,
Paul Grad,33,1.25%,Governor,101,,
Jason  Levin,26,0.99%,Governor,101,,
Write-in,17,0.64%,Governor,101,,
Cast Votes: ,2639,96.14%,Governor,101,,
Over Votes: ,1,0.04%,Governor,101,,
Under Votes: ,105,3.83%,Governor,101,,
Chuck Thomsen,1506,60.92%,State Senate,101,26,
Robert R Bruce,959,38.79%,State Senate,101,26,
Write-in,7,0.28%,State Senate,101,26,
Cast Votes: ,2472,90.05%,State Senate,101,26,
Over Votes: ,1,0.04%,State Senate,101,26,
Under Votes: ,272,9.91%,State Senate,101,26,
Jodi Bailey,1336,52.33%,State House,101,51,
Shemia Fagan,1211,47.43%,State House,101,51,
Write-in,6,0.24%,State House,101,51,
Cast Votes: ,2553,93.01%,State House,101,51,
Over Votes: ,0,0,State House,101,51,
Under Votes: ,192,6.99%,State House,101,51,
Mike Montchalin,12,6.19%,U.S. Senate,102,,
Jeff Merkley,95,48.97%,U.S. Senate,102,,
Christina Jean Lugo,3,1.55%,U.S. Senate,102,,
James E Leuenberger,1,0.52%,U.S. Senate,102,,
Monica Wehby,83,42.78%,U.S. Senate,102,,
Write-in,0,0.00%,U.S. Senate,102,,
Cast Votes: ,194,94.17%,U.S. Senate,102,,
Over Votes: ,0,0.00%,U.S. Senate,102,,
Under Votes: ,12,5.83%,U.S. Senate,102,,
Michael Meo,4,2.15%,U.S. House,102,3,
James Buchal,81,43.55%,U.S. House,102,3,
Earl Blumenauer,94,50.54%,U.S. House,102,3,
Jeffrey J Langan,6,3.23%,U.S. House,102,3,
David Walker,0,0.00%,U.S. House,102,3,
Write-in,1,0.54%,U.S. House,102,3,
Cast Votes: ,186,90.29%,U.S. House,102,3,
Over Votes: ,0,0.00%,U.S. House,102,3,
Under Votes: ,20,9.71%,U.S. House,102,3,
Dennis Richardson,104,53.61%,Governor,102,,
Chris Henry,1,0.52%,Governor,102,,
Aaron Auer,1,0.52%,Governor,102,,
John  Kitzhaber,82,42.27%,Governor,102,,
Paul Grad,3,1.55%,Governor,102,,
Jason  Levin,2,1.03%,Governor,102,,
Write-in,1,0.52%,Governor,102,,
Cast Votes: ,194,94.17%,Governor,102,,
Over Votes: ,0,0.00%,Governor,102,,
Under Votes: ,12,5.83%,Governor,102,,
Alan R Olsen,96,53.63%,State Senate,102,20,
Jamie Damon,83,46.37%,State Senate,102,20,
Write-in,0,0.00%,State Senate,102,20,
Cast Votes: ,179,86.89%,State Senate,102,20,
Over Votes: ,0,0.00%,State Senate,102,20,
Under Votes: ,27,13.11%,State Senate,102,20,
Bill Kennemer ,136,97.14%,State House,102,39,
Write-in ,4,2.86%,State House,102,39,
Cast Votes: ,140,67.96%,State House,102,39,
Over Votes: ,0,0.00%,State House,102,39,
Under Votes: ,66,32.04%,State House,102,39,
Mike Montchalin,48,2.41%,U.S. Senate,103,,
Jeff Merkley,880,44.18%,U.S. Senate,103,,
Christina Jean Lugo,18,0.90%,U.S. Senate,103,,
James E Leuenberger,23,1.15%,U.S. Senate,103,,
Monica Wehby,1008,50.60%,U.S. Senate,103,,
Write-in,15,0.75%,U.S. Senate,103,,
Cast Votes: ,1992,95.04%,U.S. Senate,103,,
Over Votes: ,0,0.00%,U.S. Senate,103,,
Under Votes: ,104,4.96%,U.S. Senate,103,,
Raymond Baldwin,27,1.41%,U.S. House,103,5,
Daniel K Souza,31,1.62%,U.S. House,103,5,
Kurt Schrader,873,45.52%,U.S. House,103,5,
Tootie Smith,948,49.43%,U.S. House,103,5,
Marvin Sannes,33,1.72%,U.S. House,103,5,
Write-in,6,0.31%,U.S. House,103,5,
Cast Votes: ,1918,91.51%,U.S. House,103,5,
Over Votes: ,2,0.10%,U.S. House,103,5,
Under Votes: ,176,8.40%,U.S. House,103,5,
Dennis Richardson,1157,58.02%,Governor,103,,
Chris Henry,11,0.55%,Governor,103,,
Aaron Auer,7,0.35%,Governor,103,,
John  Kitzhaber,780,39.12%,Governor,103,,
Paul Grad,13,0.65%,Governor,103,,
Jason  Levin,17,0.85%,Governor,103,,
Write-in,9,0.45%,Governor,103,,
Cast Votes: ,1994,95.13%,Governor,103,,
Over Votes: ,0,0.00%,Governor,103,,
Under Votes: ,102,4.87%,Governor,103,,
Rod Monroe ,1129,95.03%,State Senate,103,24,
Write-in ,59,4.97%,State Senate,103,24,
Cast Votes: ,1188,56.68%,State Senate,103,24,
Over Votes: ,0,0.00%,State Senate,103,24,
Under Votes: ,908,43.32%,State Senate,103,24,
Jeff Reardon,877,51.35%,State House,103,48,
Geo (Sonny) W Yellott,819,47.95%,State House,103,48,
Write-in,12,0.70%,State House,103,48,
Cast Votes: ,1708,81.49%,State House,103,48,
Over Votes: ,0,0.00%,State House,103,48,
Under Votes: ,388,18.51%,State House,103,48,
Mike Montchalin,0,0.00%,U.S. Senate,104,,
Jeff Merkley,0,0.00%,U.S. Senate,104,,
Christina Jean Lugo,0,0.00%,U.S. Senate,104,,
James E Leuenberger,0,0.00%,U.S. Senate,104,,
Monica Wehby,1,100.00%,U.S. Senate,104,,
Write-in,0,0.00%,U.S. Senate,104,,
Cast Votes: ,1,50.00%,U.S. Senate,104,,
Over Votes: ,0,0.00%,U.S. Senate,104,,
Under Votes: ,1,50.00%,U.S. Senate,104,,
Michael Meo,0,0.00%,U.S. House,104,3,
James Buchal,1,50.00%,U.S. House,104,3,
Earl Blumenauer,1,50.00%,U.S. House,104,3,
Jeffrey J Langan,0,0.00%,U.S. House,104,3,
David Walker,0,0.00%,U.S. House,104,3,
Write-in,0,0.00%,U.S. House,104,3,
Cast Votes: ,2,100.00%,U.S. House,104,3,
Over Votes: ,0,0.00%,U.S. House,104,3,
Under Votes: ,0,0.00%,U.S. House,104,3,
Dennis Richardson,2,100.00%,Governor,104,,
Chris Henry,0,0.00%,Governor,104,,
Aaron Auer,0,0.00%,Governor,104,,
John  Kitzhaber,0,0.00%,Governor,104,,
Paul Grad,0,0.00%,Governor,104,,
Jason  Levin,0,0.00%,Governor,104,,
Write-in,0,0.00%,Governor,104,,
Cast Votes: ,2,100.00%,Governor,104,,
Over Votes: ,0,0.00%,Governor,104,,
Under Votes: ,0,0.00%,Governor,104,,
Chuck Thomsen,2,100.00%,State Senate,104,26,
Robert R Bruce,0,0.00%,State Senate,104,26,
Write-in,0,0.00%,State Senate,104,26,
Cast Votes: ,2,100.00%,State Senate,104,26,
Over Votes: ,0,0.00%,State Senate,104,26,
Under Votes: ,0,0.00%,State Senate,104,26,
Jodi Bailey,2,100.00%,State House,104,51,
Shemia Fagan,0,0.00%,State House,104,51,
Write-in,0,0.00%,State House,104,51,
Cast Votes:,2,100.00%,State House,104,51,
Over Votes:,0,0.00%,State House,104,51,
Under Votes:,0,0.00%,State House,104,51,
Mike Montchalin,16,2.36%,U.S. Senate,105,,
Jeff Merkley,334,49.19%,U.S. Senate,105,,
Christina Jean Lugo,4,0.59%,U.S. Senate,105,,
James E Leuenberger,5,0.74%,U.S. Senate,105,,
Monica Wehby,317,46.69%,U.S. Senate,105,,
Write-in,3,0.44%,U.S. Senate,105,,
Cast Votes: ,679,95.77%,U.S. Senate,105,,
Over Votes: ,0,0.00%,U.S. Senate,105,,
Under Votes: ,30,4.23%,U.S. Senate,105,,
Raymond Baldwin,3,0.46%,U.S. House,105,5,
Daniel K Souza,6,0.91%,U.S. House,105,5,
Kurt Schrader,312,47.34%,U.S. House,105,5,
Tootie Smith,324,49.17%,U.S. House,105,5,
Marvin Sannes,14,2.12%,U.S. House,105,5,
Write-in,0,0.00%,U.S. House,105,5,
Cast Votes: ,659,92.95%,U.S. House,105,5,
Over Votes: ,0,0.00%,U.S. House,105,5,
Under Votes: ,50,7.05%,U.S. House,105,5,
Dennis Richardson,361,54.12%,Governor,105,,
Chris Henry,2,0.30%,Governor,105,,
Aaron Auer,2,0.30%,Governor,105,,
John  Kitzhaber,289,43.33%,Governor,105,,
Paul Grad,5,0.75%,Governor,105,,
Jason  Levin,6,0.90%,Governor,105,,
Write-in,2,0.30%,Governor,105,,
Cast Votes: ,667,94.08%,Governor,105,,
Over Votes: ,0,0.00%,Governor,105,,
Under Votes: ,42,5.92%,Governor,105,,
Chuck Thomsen,402,63.01%,State Senate,105,26,
Robert R Bruce,236,36.99%,State Senate,105,26,
Write-in,0,0.00%,State Senate,105,26,
Cast Votes: ,638,89.99%,State Senate,105,26,
Over Votes: ,0,0.00%,State Senate,105,26,
Under Votes: ,71,10.01%,State Senate,105,26,
Jodi Bailey,363,54.67%,State House,105,51,
Shemia Fagan,296,44.58%,State House,105,51,
Write-in,5,0.75%,State House,105,51,
Cast Votes: ,664,93.65%,State House,105,51,
Over Votes: ,0,0.00%,State House,105,51,
Under Votes: ,45,6.35%,State House,105,51,
Mike Montchalin,54,5.76%,U.S. Senate,106,,
Jeff Merkley,425,45.36%,U.S. Senate,106,,
Christina Jean Lugo,22,2.35%,U.S. Senate,106,,
James E Leuenberger,30,3.20%,U.S. Senate,106,,
Monica Wehby,404,43.12%,U.S. Senate,106,,
Write-in,2,0.21%,U.S. Senate,106,,
Cast Votes: ,937,95.22%,U.S. Senate,106,,
Over Votes: ,0,0.00%,U.S. Senate,106,,
Under Votes: ,47,4.78%,U.S. Senate,106,,
Michael Meo,25,2.71%,U.S. House,106,3,
James Buchal,414,44.90%,U.S. House,106,3,
Earl Blumenauer,424,45.99%,U.S. House,106,3,
Jeffrey J Langan,24,2.60%,U.S. House,106,3,
David Walker,32,3.47%,U.S. House,106,3,
Write-in,3,0.33%,U.S. House,106,3,
Cast Votes: ,922,93.70%,U.S. House,106,3,
Over Votes: ,0,0.00%,U.S. House,106,3,
Under Votes: ,62,6.30%,U.S. House,106,3,
Dennis Richardson,500,52.63%,Governor,106,,
Chris Henry,12,1.26%,Governor,106,,
Aaron Auer,25,2.63%,Governor,106,,
John  Kitzhaber,364,38.32%,Governor,106,,
Paul Grad,16,1.68%,Governor,106,,
Jason  Levin,24,2.53%,Governor,106,,
Write-in,9,0.95%,Governor,106,,
Cast Votes: ,950,96.54%,Governor,106,,
Over Votes: ,1,0.10%,Governor,106,,
Under Votes: ,33,3.35%,Governor,106,,
Alan R Olsen,471,51.64%,State Senate,106,20,
Jamie Damon,438,48.03%,State Senate,106,20,
Write-in,3,0.33%,State Senate,106,20,
Cast Votes: ,912,92.68%,State Senate,106,20,
Over Votes: ,0,0.00%,State Senate,106,20,
Under Votes: ,72,7.32%,State Senate,106,20,
Bill Kennemer ,701,97.50%,State House,106,39,
Write-in ,18,2.50%,State House,106,39,
Cast Votes: ,719,73.07%,State House,106,39,
Over Votes: ,0,0.00%,State House,106,39,
Under Votes: ,265,26.93%,State House,106,39,
Mike Montchalin,69,4.05%,U.S. Senate,107,,
Jeff Merkley,796,46.71%,U.S. Senate,107,,
Christina Jean Lugo,18,1.06%,U.S. Senate,107,,
James E Leuenberger,33,1.94%,U.S. Senate,107,,
Monica Wehby,771,45.25%,U.S. Senate,107,,
Write-in,17,1.00%,U.S. Senate,107,,
Cast Votes: ,1704,95.20%,U.S. Senate,107,,
Over Votes: ,0,0.00%,U.S. Senate,107,,
Under Votes: ,86,4.80%,U.S. Senate,107,,
Michael Meo,27,1.64%,U.S. House,107,3,
James Buchal,746,45.29%,U.S. House,107,3,
Earl Blumenauer,795,48.27%,U.S. House,107,3,
Jeffrey J Langan,46,2.79%,U.S. House,107,3,
David Walker,26,1.58%,U.S. House,107,3,
Write-in,7,0.43%,U.S. House,107,3,
Cast Votes: ,1647,92.01%,U.S. House,107,3,
Over Votes: ,0,0.00%,U.S. House,107,3,
Under Votes: ,143,7.99%,U.S. House,107,3,
Dennis Richardson,926,54.34%,Governor,107,,
Chris Henry,19,1.12%,Governor,107,,
Aaron Auer,29,1.70%,Governor,107,,
John  Kitzhaber,661,38.79%,Governor,107,,
Paul Grad,30,1.76%,Governor,107,,
Jason  Levin,31,1.82%,Governor,107,,
Write-in,8,0.47%,Governor,107,,
Cast Votes: ,1704,95.20%,Governor,107,,
Over Votes: ,0,0.00%,Governor,107,,
Under Votes: ,86,4.80%,Governor,107,,
Chuck Thomsen,977,59.87%,State Senate,107,26,
Robert R Bruce,649,39.77%,State Senate,107,26,
Write-in,6,0.37%,State Senate,107,26,
Cast Votes: ,1632,91.17%,State Senate,107,26,
Over Votes: ,0,0.00%,State Senate,107,26,
Under Votes: ,158,8.83%,State Senate,107,26,
Stephanie Nystrom,656,40.02%,State House,107,52,
